sid	labeling	concentration	concentration_unit	buffer	ph	purity	produced_by	production_date	comment	ligand	passage_history	active	stock
A/Beijing/32/1992(H3N2)-2017-07-05							ssaenger	2017-07-05	Titer 1.24E8 pfu/ml (plaque test). EGG ! FIX THIS. FIX THE CONCENTRATION UNITS.	A/Beijing/32/1992(H3N2)	Egg		True
A/Brisbane/10/2007(H3N2)-2017-07-05							ssaenger	2017-07-05	EGG !. Set the field. FIX THE CONCENTRATION UNITS.	A/Brisbane/10/2007(H3N2)	Egg		True
A/Aichi/2/68(H3N2)-X31-2017-05-02							ssaenger	2017-05-02	EGG ! 4.63E8 [pfu/ml] FIX THE CONCENTRATION UNITS. ADD EGG & UZ VARIANTS OF BATCH.	A/Aichi/2/68(H3N2)-X31	Egg		True
A/California/7/2009(H1N1)-2018-03-20							ssaenger		Eggs infected with PBS. Used as negative control (Mock). Allantois fluid (containing proteins from egg).	A/California/7/2009(H1N1)	Egg		True
A/Brisbaine/59/2007(H1N1)-2018-03-20							ssaenger			A/Brisbaine/59/2007(H1N1)	Egg		True
A/Hong Kong/4801/2014(H3N2)-2018-03-20							ssaenger			A/Hong Kong/4801/2014(H3N2)	Egg		True
A/Panama/2007/1999(H3N2)-2017							ssaenger			A/Panama/2007/1999(H3N2)	Egg		True
A/Victoria/361/2011(H3N2)-2018-04-13		0.972519084					ssaenger			A/Victoria/361/2011(H3N2)	Egg		True
A/Switzerland/9715293/2013(H3N2)-2018-04-13		1.1618181818					ssaenger			A/Switzerland/9715293/2013(H3N2)	Egg		True
A/Texas/50/2012(H3N2)-2018-04-13		1.0644736842					ssaenger			A/Texas/50/2012(H3N2)	Egg		True
A/Beijing/32/1992(H3N2)-2018-04-13		3.3333333333					ssaenger			A/Beijing/32/1992(H3N2)	Egg		True
A/Perth/16/2009(H3N2)-2018-04-13		3.5222222222					ssaenger			A/Perth/16/2009(H3N2)	Egg		True
A/Brisbane/10/2007(H3N2)-2018-04-13		1.45					ssaenger			A/Brisbane/10/2007(H3N2)	Egg		True
A/California/7/2009(H1N1)-2018-04-13		1.0526315789					ssaenger			A/California/7/2009(H1N1)	Egg		True
A/Panama/2007/1999(H3N2)-2018-04-13		17.7777777778					ssaenger			A/Panama/2007/1999(H3N2)	Egg		True
A/Brisbaine/59/2007(H1N1)-2018-04-13		1.1885964912					ssaenger			A/Brisbaine/59/2007(H1N1)	Egg		True
A/Hong Kong/4801/2014(H3N2)-2018-04-13		1.1861471861					ssaenger			A/Hong Kong/4801/2014(H3N2)	Egg		True
A/Aichi/2/68(H3N2)-X31-2018-04-13		1.6115702479					ssaenger			A/Aichi/2/68(H3N2)-X31	Egg		True
Mi45-2018-04-13		1					ssaenger			Mi45	Egg		True
VicAlla-2018-04-13		1.203539823					ssaenger			VicAlla	Egg		True
VicZelle-2018-04-13		0.972519084					ssaenger			VicZelle	Egg		True
X31D										A/Aichi/2/68(H3N2)-X31	Egg	False	True
X31C		0.05		PBST					Labeling vom 11.1.17, used for Publication 	A/Aichi/2/68(H3N2)-X31	Egg	False	True
H1									used for Publication 	V-Unknown	Egg		True
H1N1									used for Publication 	V-Unknown	Egg		True
H5									used for Publication 	V-Unknown	Egg		True
H7									used for Publication 	V-Unknown	Egg		True
Vi									used for Publication 	A/Victoria/3/75(H3N2)	Egg		True
NY									used for Publication 	A/New York/55/2004(H3N2)	Egg		True
X31A		833							Aliquotiert am 12.12.2016 zu je 100 mul in 14 Kryogefäße per Stamm (je 7 pro Aliguot)	A/Aichi/2/68(H3N2)-X31	Egg	False	True
X31B		927							Aliquotiert am 12.12.2016 zu je 100 mul in 14 Kryogefäße per Stamm (je 7 pro Aliguot)	A/Aichi/2/68(H3N2)-X31	Egg	False	True
CAL1		333							Aliquotiert am 12.12.2016 zu je 100 mul in 14 Kryogefäße per Stamm (je 7 pro Aliguot)	A/California/7/2009(H1N1)	Egg	False	True
PAN1		0.48							Aliquotiert am 12.12.2016 zu je 100 mul in 14 Kryogefäße per Stamm (je 7 pro Aliguot)	A/Panama/2007/1999(H3N2)	Egg	False	True
PAN2		353							Aliquotiert am 12.12.2016 zu je 100 mul in 14 Kryogefäße per Stamm (je 7 pro Aliguot)	A/Panama/2007/1999(H3N2)	Egg	False	True
CAL2		367							Aliquotiert am 12.12.2016 zu je 100 mul in 14 Kryogefäße per Stamm (je 7 pro Aliguot)	A/California/7/2009(H1N1)	Egg	False	True
X31									benutzt bei den ersten Microarrays 2017	A/Aichi/2/68(H3N2)-X31			True
Pan									benutzt bei den ersten Microarrays 2017	A/Panama/2007/1999(H3N2)			True
Cal									benutzt bei den ersten Microarrays 2017	A/California/7/2009(H1N1)			True
X31-2-100		0.1		Natriumhydrogencarbonat	8.5					A/Aichi/2/68(H3N2)-X31	Egg	False	True
X31-2-050		0.05		Natriumhydrogencarbonat	8.5					A/Aichi/2/68(H3N2)-X31	Egg	False	False
